Ind.ID,Survey.Date,Project,Species,Sex,Bd.presence
53546126,9/15/16,CA,Rana muscosa,Female,Negative
53546279,7/6/10,CA,Rana draytonii,Female,Negative
53546870,9/16/10,CA,Rana muscosa,Female,Negative
53547633,8/5/10,CA,Rana muscosa,Female,Negative
53548840,8/18/10,CA,Rana draytonii,Female,Negative
53554099,7/18/12,CA,Rana muscosa,Male,Negative
53554099,6/24/10,CA,Rana muscosa,Male,Negative
53554099,8/6/10,CA,Rana muscosa,Male,Negative
53556075,8/17/10,CA,Rana draytonii,Male,Negative
53556311,8/18/10,CA,Rana draytonii,Female,Negative
53557097,8/16/10,CA,Rana draytonii,Male,Positive
53557097,9/18/14,CA,Rana draytonii,Male,Negative
53558309,7/6/10,CA,Rana draytonii,Male,Negative
53558889,8/17/10,CA,Rana draytonii,Female,Negative
53561031,7/17/12,CA,Rana muscosa,Male,Negative
53562363,8/18/10,CA,Rana draytonii,Female,Negative
53563295,8/16/10,CA,Rana draytonii,Female,Negative
53564803,8/15/14,CA,Rana muscosa,Male,Negative
53564803,7/17/12,CA,Rana muscosa,Male,Negative
53564803,8/27/12,CA,Rana muscosa,Male,Negative
53564803,7/18/13,CA,Rana muscosa,Male,Negative
53566859,6/23/10,CA,Rana muscosa,Female,Negative
53566859,6/3/14,CA,Rana muscosa,Female,Negative
53566859,6/4/12,CA,Rana muscosa,Female,Negative
53566859,8/5/10,CA,Rana muscosa,Female,Negative
53567866,8/17/16,CA,Rana muscosa,Female,Negative
53567866,8/17/16,CA,Rana muscosa,Female,Negative
53568312,6/24/10,CA,Rana muscosa,Female,Negative
53568312,9/19/11,CA,Rana muscosa,Female,Negative
53569020,9/16/10,CA,Rana muscosa,Female,Negative
53570080,8/17/10,CA,Rana draytonii,Male,Negative
53585014,5/29/14,CA,Rana muscosa,Male,Negative
53585014,7/21/11,CA,Rana muscosa,Male,Negative
53585014,5/16/08,CA,Rana muscosa,Male,Negative
53585014,8/6/08,CA,Rana muscosa,Male,Negative
53585014,5/28/09,CA,Rana muscosa,Male,Negative
53585014,6/16/10,CA,Rana muscosa,Male,Negative
53774781,7/2/02,CA,Rana muscosa,Male,Negative
53799366,7/1/05,CA,Rana muscosa,Male,Negative
53812037,7/7/02,CA,Rana muscosa,Male,Negative
53843526,7/7/02,CA,Rana muscosa,Female,Negative
53866534,6/20/05,CA,Rana muscosa,Female,Negative
53869531,8/3/05,CA,Rana muscosa,Male,Negative
53869531,7/17/06,CA,Rana muscosa,Male,Negative
53869531,7/8/08,CA,Rana muscosa,Male,Negative
53869531,5/30/06,CA,Rana muscosa,Male,Negative
53869531,6/13/07,CA,Rana muscosa,Male,Negative
53882589,8/11/06,CA,Rana muscosa,Female,Negative
53882589,5/16/14,CA,Rana muscosa,Female,Negative
53882589,5/15/08,CA,Rana muscosa,Female,Negative
53882589,6/25/09,CA,Rana muscosa,Female,Negative
53882623,6/30/05,CA,Rana muscosa,Female,Negative
53882623,9/6/13,CA,Rana muscosa,Female,Negative
53882623,6/16/10,CA,Rana muscosa,Female,Negative
53884881,5/1/07,CA,Rana muscosa,Male,Negative
53888353,5/31/06,CA,Rana muscosa,Female,Negative
54021271,7/21/05,CA,Rana muscosa,Female,Negative
54033514,7/5/05,CA,Rana draytonii,Female,negative
54039583,7/5/05,CA,Rana draytonii,Female,negative
54041874,6/30/05,CA,Rana muscosa,Male,Negative
54041874,6/13/03,CA,Rana muscosa,Male,Negative
54045079,6/13/05,CA,Rana muscosa,Male,Negative
54045079,6/2/03,CA,Rana muscosa,Male,Negative
54100115,6/30/05,CA,Rana muscosa,Male,Negative
54100115,7/28/05,CA,Rana muscosa,Male,Negative
54100115,6/13/03,CA,Rana muscosa,Male,Negative
54281069,9/1/05,CA,Rana muscosa,Male,Negative
54285771,6/13/05,CA,Rana muscosa,Female,Negative
54285771,6/12/06,CA,Rana muscosa,Female,Negative
54285771,6/2/03,CA,Rana muscosa,Female,Negative
54306067,9/6/06,CA,Rana muscosa,Female,Negative
54307266,5/31/06,CA,Rana muscosa,Female,Negative
54307266,7/31/08,CA,Rana muscosa,Female,Negative
54308337,7/15/13,CA,Rana muscosa,Female,Negative
54309286,6/13/03,CA,Rana muscosa,Male,Negative
54319082,6/14/05,CA,Rana draytonii,Male,negative
54335359,8/4/05,CA,Rana muscosa,Male,Negative
54380300,7/27/05,CA,Rana muscosa,Male,Negative
54380300,8/11/06,CA,Rana muscosa,Male,Negative
54541885,9/1/05,CA,Rana muscosa,Male,Negative
54541885,7/27/05,CA,Rana muscosa,Male,Negative
54541885,5/21/07,CA,Rana muscosa,Male,Negative
54541885,8/25/03,CA,Rana muscosa,Male,Negative
54582638,8/5/08,CA,Rana muscosa,Female,Negative
54582638,6/24/08,CA,Rana muscosa,Female,Positive
54582638,7/3/12,CA,Rana muscosa,Female,Negative
54582638,8/25/03,CA,Rana muscosa,Female,Negative
54590634,9/6/06,CA,Rana muscosa,Male,Negative
54590634,6/13/05,CA,Rana muscosa,Male,Negative
54590634,6/2/03,CA,Rana muscosa,Male,Negative
54613585,5/1/07,CA,Rana muscosa,Male,Negative
